Index,Product_Name,Description,Brand,Category,Price,Currency,Stock_Quantity,EAN,Color,Size,Availability,Internal_ID,Final_Price
1,Smart Fan Iron Cooker Go Wireless Portable,Catch enough role nearly.,Herman Ltd,kids' clothing,585,USD,194,3968600833473,Cornsilk,5x7 in,limited_stock,54,526.5
2,Fan,All movement yeah tax me.,"Braun, King and Rollins",grooming tools,992,USD,724,191126950284,Bisque,S,discontinued,49,892.8000000000001
3,Smart Speakerphone Charger Eco Plus Clean,Quickly inside pull line lay start.,Peck-Coleman,fishing & hunting,940,USD,769,7569143820621,Blue,Extra Large,pre_order,42,846.0
4,Premium Grill Trimmer Portable,Lawyer one than fire.,Hines Ltd,skincare,324,USD,93,2705140928037,Ivory,50x70 cm,out_of_stock,93,291.6
5,Keyboard Freezer,Remain Congress blood plan voice.,"Spence, Webster and Orr",laptops & computers,908,USD,614,9830391008108,FloralWhite,10x10 cm,discontinued,91,817.2
6,Smart Fridge Plus,Tell tend provide government voice.,"Marks, Guzman and Cooley",kitchen appliances,627,USD,901,3039245054025,LightSalmon,XXL,pre_order,29,564.3000000000001
7,Compact Dock One Portable Wireless,Push role risk must get performance color.,Newman-Barajas,fishing & hunting,385,USD,366,6194768427002,MediumPurple,Large,out_of_stock,23,346.5
8,Premium Cooler Digital Portable X,Fall opportunity southern drive professor top.,"Gutierrez, Singleton and Downs",skincare,296,USD,609,6978363826350,PaleGreen,8x10 in,in_stock,6,266.40000000000003
9,Compact Fan Scooter Headphones,Medical myself his piece agree.,Weber and Sons,clothing & apparel,870,USD,930,2666733210512,DarkBlue,XS,limited_stock,6,783.0
10,Eco Dock Air,Know hope enjoy budget have.,Humphrey and Sons,beauty & personal care,602,USD,923,3726212774009,SandyBrown,50x70 cm,in_stock,11,541.8000000000001
11,Thermostat Stove Lamp,Pull perhaps customer available.,Moreno-Weaver,kids' clothing,707,USD,257,6886778382210,Thistle,M,discontinued,33,636.3000000000001
12,Mini Powerbank Lite Plus,Still can tell.,"Gentry, Vincent and Saunders",makeup,499,USD,108,9632709420387,OldLace,M,pre_order,22,449.1
13,Scooter Bicycle Oven,Deal event item ever financial home.,Mclean-Aguilar,laptops & computers,79,USD,203,227867819631,LightSkyBlue,30x40 cm,in_stock,58,71.10000000000001
14,Fan,It minute eight mother often focus ever.,Mcdaniel LLC,toys & games,897,USD,338,1326983446208,MediumBlue,50x70 cm,limited_stock,67,807.3000000000001
15,Wireless Light Heater Clock X,Sing statement show future size hard hope.,Sosa LLC,grooming tools,581,USD,877,4749136042046,DarkTurquoise,8x10 in,limited_stock,84,522.9
16,Ultra Powerbank Scale Automatic,Against or catch tough nor wait reason.,Macias Group,fishing & hunting,223,USD,62,6282374002499,Azure,30x40 cm,pre_order,93,200.70000000000002
17,Projector,Party everybody bill work condition behind great share.,Ali Group,men's clothing,699,USD,762,3359907564212,DeepSkyBlue,Small,in_stock,89,629.1
18,Blender,Bit dog upon sometimes trade.,Gray-Deleon,camping & hiking,881,USD,34,2045936905300,DarkSeaGreen,30x40 cm,discontinued,83,792.9
