Index,Name,Description,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID
1,Smart Fan Iron Cooker Go Wireless Portable,Catch enough role nearly.,Herman Ltd,Kids' Clothing,585,USD,194,3.9686E+12,Cornsilk,5x7 in,limited_stock,54
2,Fan,All movement yeah tax me.,"Braun, King and Rollins",Grooming Tools,992,USD,724,1.91127E+11,Bisque,S,discontinued,49
3,Smart Speakerphone Charger Eco Plus Clean,Quickly inside pull line lay start.,Peck-Coleman,Fishing & Hunting,940,USD,769,7.56914E+12,Blue,Extra Large,pre_order,42
4,Premium Grill Trimmer Portable,Lawyer one than fire.,Hines Ltd,Skincare,324,USD,93,2.70514E+12,Ivory,50x70 cm,out_of_stock,93
5,Keyboard Freezer,Remain Congress blood plan voice.,"Spence, Webster and Orr",Laptops & Computers,908,USD,614,9.83039E+12,FloralWhite,10x10 cm,discontinued,91
6,Smart Fridge Plus,Tell tend provide government voice.,"Marks, Guzman and Cooley",Kitchen Appliances,627,USD,901,3.03925E+12,LightSalmon,XXL,pre_order,29
7,Compact Dock One Portable Wireless,Push role risk must get performance color.,Newman-Barajas,Fishing & Hunting,385,USD,366,6.19477E+12,MediumPurple,Large,out_of_stock,23
8,Premium Cooler Digital Portable X,Fall opportunity southern drive professor top.,"Gutierrez, Singleton and Downs",Skincare,296,USD,609,6.97836E+12,PaleGreen,8x10 in,in_stock,6
9,Compact Fan Scooter Headphones,Medical myself his piece agree.,Weber and Sons,Clothing & Apparel,870,USD,930,2.66673E+12,DarkBlue,XS,limited_stock,6
10,Eco Dock Air,Know hope enjoy budget have.,Humphrey and Sons,Beauty & Personal Care,602,USD,923,3.72621E+12,SandyBrown,50x70 cm,in_stock,11
11,Thermostat Stove Lamp,Pull perhaps customer available.,Moreno-Weaver,Kids' Clothing,707,USD,257,6.88678E+12,Thistle,M,discontinued,33
12,Mini Powerbank Lite Plus,Still can tell.,"Gentry, Vincent and Saunders",Makeup,499,USD,108,9.63271E+12,OldLace,M,pre_order,22
13,Scooter Bicycle Oven,Deal event item ever financial home.,Mclean-Aguilar,Laptops & Computers,79,USD,203,2.27868E+11,LightSkyBlue,30x40 cm,in_stock,58
14,Fan,It minute eight mother often focus ever.,Mcdaniel LLC,Toys & Games,897,USD,338,1.32698E+12,MediumBlue,50x70 cm,limited_stock,67
